Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
personalized-mustache-pet-id-tag-copper-silver-or-brass,"Personalized Mustache Pet ID Tag - Copper, Silver or Brass","<span>The Loving Paw's most popular item!</span><br><br><span>This listing is for one custom 2 1/4"" mustache pet ID Tag. Please choose from between copper, brass or nickel silver from the menu &amp; remember to include your pet's name &amp; phone number in the notes at checkout! (One name &amp; one phone number max)</span><br><br><span>Silver is SOLD OUT!</span><br><br><span>If there is something that you would like that you don't see, please feel free to message me. I would be happy to work with you to create a custom piece.</span><br><br><span>* A percentage of each order goes to animal rescue organizations *</span><br><br>",The Loving Paw,ID Tag,ID Tag,TRUE,Material,Copper,Add-on a Charm (+ $3.00),No Charm,Add Swarovski Crystal Birthstone Charm (+ $3.00),No Birthstone,MUSTACHE-TAG-1000,56,shopify,7,deny,manual,12,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/MUSTACHE-TAG-1000_IMG1_7e7d8548-9799-4096-8a13-71c1f43acca7.jpeg?v=1426894662,,FALSE,,,,,,,,,,,,,,,,,lb
personalized-mustache-pet-id-tag-copper-silver-or-brass,,,,,,,,Copper,,No Charm,,Add Birthstone,MUSTACHE-TAG-1001,56,shopify,7,deny,manual,15,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/MUSTACHE-TAG-1000_IMG2_95a1e701-82fa-4881-b4f2-b6701b0cc5ef.jpeg?v=1426894662,,,,,,,,,,,,,,,,,,,lb
personalized-mustache-pet-id-tag-copper-silver-or-brass,,,,,,,,Copper,,Add Charm,,No Birthstone,MUSTACHE-TAG-1002,56,shopify,7,deny,manual,15,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/MUSTACHE-TAG-1000_IMG3_457a51bd-7a44-41b5-a91e-9ad9c104b223.jpeg?v=1426894662,,,,,,,,,,,,,,,,,,,lb
personalized-mustache-pet-id-tag-copper-silver-or-brass,,,,,,,,Copper,,Add Charm,,Add Birthstone,MUSTACHE-TAG-1003,56,shopify,7,deny,manual,18,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/MUSTACHE-TAG-1000_IMG4_060862b5-296b-4a98-809d-da444c25b4a8.jpeg?v=1426894662,,,,,,,,,,,,,,,,,,,lb
personalized-mustache-pet-id-tag-copper-silver-or-brass,,,,,,,,Brass,,No Charm,,No Birthstone,MUSTACHE-TAG-1004,56,shopify,7,deny,manual,12,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/MUSTACHE-TAG-1000_IMG5_925732ef-852f-49ab-b9c9-21952eb9259c.jpeg?v=1426894662,,,,,,,,,,,,,,,,,,,lb
personalized-mustache-pet-id-tag-copper-silver-or-brass,,,,,,,,Brass,,No Charm,,Add Birthstone,MUSTACHE-TAG-1005,56,shopify,7,deny,manual,15,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
personalized-mustache-pet-id-tag-copper-silver-or-brass,,,,,,,,Brass,,Add Charm,,No Birthstone,MUSTACHE-TAG-1006,56,shopify,7,deny,manual,15,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
personalized-mustache-pet-id-tag-copper-silver-or-brass,,,,,,,,Brass,,Add Charm,,Add Birthstone,MUSTACHE-TAG-1007,56,shopify,7,deny,manual,18,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
personalized-mustache-pet-id-tag-copper-silver-or-brass,,,,,,,,Silver,,No Charm,,No Birthstone,MUSTACHE-TAG-1008,56,shopify,0,deny,manual,12,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
personalized-mustache-pet-id-tag-copper-silver-or-brass,,,,,,,,Silver,,No Charm,,Add Birthstone,MUSTACHE-TAG-1009,56,shopify,0,deny,manual,15,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
personalized-mustache-pet-id-tag-copper-silver-or-brass,,,,,,,,Silver,,Add Charm,,No Birthstone,MUSTACHE-TAG-1010,56,shopify,0,deny,manual,15,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
personalized-mustache-pet-id-tag-copper-silver-or-brass,,,,,,,,Silver,,Add Charm,,Add Birthstone,MUSTACHE-TAG-1011,56,shopify,0,deny,manual,18,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
personalized-mustache-pet-id-tag-copper-silver-or-brass,,,,,,,,Nickel,,No Charm,,No Birthstone,MUSTACHE-TAG-1012,56,shopify,0,deny,manual,12,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
personalized-mustache-pet-id-tag-copper-silver-or-brass,,,,,,,,Nickel,,No Charm,,Add Birthstone,MUSTACHE-TAG-1013,56,shopify,0,deny,manual,15,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
personalized-mustache-pet-id-tag-copper-silver-or-brass,,,,,,,,Nickel,,Add Charm,,No Birthstone,MUSTACHE-TAG-1014,56,shopify,0,deny,manual,15,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
personalized-mustache-pet-id-tag-copper-silver-or-brass,,,,,,,,Nickel,,Add Charm,,Add Birthstone,MUSTACHE-TAG-1015,56,shopify,0,deny,manual,18,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
gift-option-add-on,Gift Wrapping Add-On,<p>This Listing is Under Construction</p>,The Loving Paw,Gift,Gift,TRUE,Title,Default Title,,,,,GIFT-OPTION-1000,14,shopify,5,deny,manual,5,,FALSE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/ADOPTED-TAG-1000_IMG4_eaf33a1f-2aac-4ee6-90d4-208a0526c8c0.jpeg?v=1426661421,The Loving Paw Offers Gift Wrapping Options for Every Order!,FALSE,The Loving Paw Offers Gift Wrapping Options,Gifting is Easy with The Loving Paw's Available Gift Wrapping Service for Every Order.,,,,,,,,,,,,,,,oz
gift-option-add-on,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0760/5531/products/ADOPTED-TAG-1000_IMG5_0302c1fc-0038-4466-aada-0a92a1bf4654.jpeg?v=1426661421,The Loving Paw Offers Gift Wrapping Options for Every Order!,,,,,,,,,,,,,,,,,,
gift-option-add-on,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0760/5531/products/COPPERDOGHOUSE-TAG-1000_IMG2_f024019d-20b5-4b64-b07e-931d2c6df1f7.jpeg?v=1426661421,The Loving Paw Offers Gift Wrapping Options for Every Order!,,,,,,,,,,,,,,,,,,
gift-option-add-on,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0760/5531/products/BASEBALLLVR-TAG-1000_IMG5_267cc599-0bc4-4171-bf7d-7ee3968267d8.jpeg?v=1426661421,The Loving Paw Offers Gift Wrapping Options for Every Order!,,,,,,,,,,,,,,,,,,
tag-line-id-tag-keep-calm-call-my-mom,Tag Line ID Tag - Keep Calm & Call My Mom,"<span>This listing is for one aluminum pet tag with a tag line. It is 1.25"" and extremely light weight for your pet's comfort. Please choose the design &amp; shape that you like from the menu. If you don't choose one, we will use the design shown in picture 1.</span><br><br><span>If you see another font or shape that you like, we are happy to custom make anything for you. Feel free to use your own creative tagline too!</span><br><br>",The Loving Paw,ID Tag,ID Tag,TRUE,Add Custom Stamping (+ $3.00),No Stamping,Add-on a Charm (+ $3.00),No Charm,Add Swarovski Crystal Birthstone Charm (+ $3.00),No Birthstone,KEEPCALM-TAG-1000,56,shopify,4,deny,manual,10,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/KEEPCALM-TAG-1000_IMG1_5b266855-9288-493a-948f-f502ce5af8cf.jpeg?v=1426894630,,FALSE,Hand Stamped Customizable 'KEEP CALM AND CALL MY MOM' Pet ID Tag. Personalize Your Own Today! ,"The Loving Paw's Assortment of Hand Stamped, Customizable, Tag Line ID's Will Adorn Your Pet While Supporting Animal Rescue Organizations With Every Order.",,,,,,,,,,,,,,,lb
tag-line-id-tag-keep-calm-call-my-mom,,,,,,,,No Stamping,,No Charm,,Add Birthstone,KEEPCALM-TAG-1001,54,shopify,4,deny,manual,13,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/KEEPCALM-TAG-1000_IMG2_798e0a22-c21b-4ee3-b9f5-2f663aabb12f.jpeg?v=1426894630,,,,,,,,,,,,,,,,,,,lb
tag-line-id-tag-keep-calm-call-my-mom,,,,,,,,No Stamping,,Add Charm,,No Birthstone,KEEPCALM-TAG-1002,56,shopify,4,deny,manual,13,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/KEEPCALM-TAG-1000_IMG3_8c564c3e-91a5-460c-af34-c480315f349e.jpeg?v=1426894630,,,,,,,,,,,,,,,,,,,lb
tag-line-id-tag-keep-calm-call-my-mom,,,,,,,,No Stamping,,Add Charm,,Add Birthstone,KEEPCALM-TAG-1003,56,shopify,4,deny,manual,16,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/KEEPCALM-TAG-1000_IMG4_3de6c06f-9726-4f8f-9c4d-25b4e99ad2a1.jpeg?v=1426894630,,,,,,,,,,,,,,,,,,,lb
tag-line-id-tag-keep-calm-call-my-mom,,,,,,,,Add Stamping,,No Charm,,No Birthstone,KEEPCALM-TAG-1004,56,shopify,4,deny,manual,13,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
tag-line-id-tag-keep-calm-call-my-mom,,,,,,,,Add Stamping,,No Charm,,Add Birthstone,KEEPCALM-TAG-1005,56,shopify,4,deny,manual,16,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
tag-line-id-tag-keep-calm-call-my-mom,,,,,,,,Add Stamping,,Add Charm,,No Birthstone,KEEPCALM-TAG-1006,56,shopify,4,deny,manual,16,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
tag-line-id-tag-keep-calm-call-my-mom,,,,,,,,Add Stamping,,Add Charm,,Add Birthstone,KEEPCALM-TAG-1007,56,shopify,4,deny,manual,19,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
tag-line-id-small-tag-namaste,Tag Line ID Small Tag - Namaste,"<span>This listing is for one lightweight aluminum pet tag that says 'namaste'. Please choose the symbol that you'd like from the menu. If you do not choose one, we will use the one shown in picture 1. This tag can be made in XS (3/4"") or Small (1""). </span><br><br><span>Feel free to use your own tag line too!</span><br><br><span>If you see other fonts or shapes that you like, we are happy to work with you.</span><br><br>",The Loving Paw,ID Tag,ID Tag,TRUE,Add Custom Stamping (+ $3.00),No Stamping,Add-on a Charm (+ $3.00),No Charm,Add Swarovski Crystal Birthstone Charm (+ $3.00),No Birthstone,NAMASTE-TAG-1000,56,shopify,8,deny,manual,8,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/NAMASTE-TAG-1000_IMG1_5cb6cbc2-d3ef-4a6d-aa9d-3d24b7842cc8.jpeg?v=1426894658,,FALSE,Hand Stamped Customizable 'NAMASTE' Pet ID Tag. Personalize Your Own Today! ,"The Loving Paw's Assortment of Hand Stamped, Customizable, Tag Line ID's Will Adorn Your Pet While Supporting Animal Rescue Organizations With Every Order.",,,,,,,,,,,,,,,lb
tag-line-id-small-tag-namaste,,,,,,,,No Stamping,,No Charm,,Add Birthstone,NAMASTE-TAG-1001,56,shopify,8,deny,manual,11,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/NAMASTE-TAG-1000_IMG2_c1631f18-95c0-4914-bcfa-de8c1ce909ac.jpeg?v=1426894658,,,,,,,,,,,,,,,,,,,lb
tag-line-id-small-tag-namaste,,,,,,,,No Stamping,,Add Charm,,No Birthstone,NAMASTE-TAG-1002,56,shopify,8,deny,manual,11,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/NAMASTE-TAG-1000_IMG3_9f62c138-9f6c-4538-a4fe-03606538273f.jpeg?v=1426894658,,,,,,,,,,,,,,,,,,,lb
tag-line-id-small-tag-namaste,,,,,,,,No Stamping,,Add Charm,,Add Birthstone,NAMASTE-TAG-1003,56,shopify,8,deny,manual,14,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/NAMASTE-TAG-1000_IMG4_89e57a4d-458b-45ca-9a1e-1d3c364e92b2.jpeg?v=1426894658,,,,,,,,,,,,,,,,,,,lb
tag-line-id-small-tag-namaste,,,,,,,,Add Stamping,,No Charm,,No Birthstone,NAMASTE-TAG-1004,56,shopify,8,deny,manual,11,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/products/NAMASTE-TAG-1000_IMG5_d0375618-5d86-429f-98a6-031835965d06.jpeg?v=1426894658,,,,,,,,,,,,,,,,,,,lb
tag-line-id-small-tag-namaste,,,,,,,,Add Stamping,,No Charm,,Add Birthstone,NAMASTE-TAG-1005,56,shopify,8,deny,manual,14,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
tag-line-id-small-tag-namaste,,,,,,,,Add Stamping,,Add Charm,,No Birthstone,NAMASTE-TAG-1006,56,shopify,8,deny,manual,14,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
tag-line-id-small-tag-namaste,,,,,,,,Add Stamping,,Add Charm,,Add Birthstone,NAMASTE-TAG-1007,56,shopify,8,deny,manual,17,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
