Handle,Title,Body (HTML),Vendor,Type,Tags,Collection,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
adopted-pet-id-tag-custom-hand-stamped,Adopted Pet ID tag - Custom & Hand Stamped,"<span>1/2"" adopted aluminum round</span><br><br><span>It can be worn by itself or added to your pet's current tags. </span><br><br><span>If there is something that you would like that you don't see, please feel free to message me. I would be happy to work with you to create a custom piece.</span><br><br><span>* A percentage of each order goes to animal rescue organizations *</span><br><br><span>Gift wrapping for this item is available here:</span><br><a href=""http://www.etsy.com/listing/153027723/gift-wrapping-add-on?ref=shop_home_active"" target=""_blank"">http://www.etsy.com/listing/153027723/gift-wrapping-add-on?ref=shop_home_active</a>",The Loving Paw,ID Tag,ID Tag,ID Tag,TRUE,Add-on a Charm (+ $3.00),No Charm,Add Swarovski Crystal Birthstone Charm (+ $3.00),No Birthstone,,,ADOPTED-TAG-1000,14,shopify,10,deny,manual,4,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/files/ADOPTED-TAG-1000_IMG1_a55e3bbe-0623-4fcc-b094-160cd662178d.jpg?16078887528086111488,,FALSE,,,,,,,,,,,,,,,,,oz
adopted-pet-id-tag-custom-hand-stamped,,,,,,,,,No Charm,,Add Birthstone,,,ADOPTED-TAG-1001,14,shopify,10,deny,manual,7,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/files/ADOPTED-TAG-1000_IMG2_7e1efd91-aca8-40bd-a35b-26d1f5edcb75.jpg?16078887528086111488,,,,,,,,,,,,,,,,,,,oz
adopted-pet-id-tag-custom-hand-stamped,,,,,,,,,Add Charm,,No Birthstone,,,ADOPTED-TAG-1002,14,shopify,10,deny,manual,7,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/files/ADOPTED-TAG-1000_IMG3_3b64ca27-981c-4d63-be92-d1677b3652bb.jpg?16078887528086111488,,,,,,,,,,,,,,,,,,,oz
adopted-pet-id-tag-custom-hand-stamped,,,,,,,,,Add Charm,,Add Birthstone,,,ADOPTED-TAG-1003,14,shopify,10,deny,manual,10,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/files/ADOPTED-TAG-1000_IMG4_eaf33a1f-2aac-4ee6-90d4-208a0526c8c0.jpg?16078887528086111488,,,,,,,,,,,,,,,,,,,oz
adopted-pet-id-tag-custom-hand-stamped,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0760/5531/files/ADOPTED-TAG-1000_IMG5_0302c1fc-0038-4466-aada-0a92a1bf4654.jpg?16078887528086111488,,,,,,,,,,,,,,,,,,,
organic-cotton-toddler-crew-i-love-my-dog-ocean-blue,Organic Cotton Toddler Crew - I Love My Dog - Ocean Blue,<span>This listing is for one ocean blue 'I Love My Dog' 6 mo. toddler crew by The Loving Paw. </span><br><br><span>Our 100% Organic Cotton is perfect for little ones-so soft you'd swear it was a second skin. This miniature crew is lightweight and breathable so little ones can stay comfortable all day long. Part of the eco-friendly Alternative Earth Collection.</span><br><br><span>A portion of proceeds goes to animal rescue organizations around the country. :)</span>,The Loving Paw,T-Shirts,T-Shirt,T-Shirt,TRUE,Title,Default Title,,,,,OBTC-TS-1000,136,shopify,1,deny,manual,18,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/files/OBTC-TS-1000_img1_09b5418d-d9e9-4c31-9444-7ee0f6250cd2.jpg?16078887528086111488,,FALSE,,,,,,,,,,,,,,,,,lb
organic-cotton-toddler-crew-i-love-my-dog-ocean-blue,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0760/5531/files/OBTC-TS-1000_img2_a2e6c845-4872-4f23-92a8-b13f980d848d.jpg?16078887528086111488,,,,,,,,,,,,,,,,,,,
organic-cotton-toddler-crew-i-love-my-dog-olive-green,Organic Cotton Toddler Crew - I Love My Dog - Olive Green,<span>This listing is for one ocean blue 'I Love My Dog' 6 mo. toddler crew by The Loving Paw. </span><br><br><span>Our 100% Organic Cotton is perfect for little ones-so soft you'd swear it was a second skin. This miniature crew is lightweight and breathable so little ones can stay comfortable all day long. Part of the eco-friendly Alternative Earth Collection.</span><br><br><span>A portion of proceeds goes to animal rescue organizations around the country. :)</span>,The Loving Paw,T-Shirts,T-Shirt,T-Shirt,TRUE,Title,Default Title,,,,,OGTC-TS-1000,136,shopify,2,deny,manual,18,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/files/OGTC-TS-1000_img1_c44cb273-dad4-41dd-97e4-cd315cd84d5a.jpg?16078887528086111488,,FALSE,,,,,,,,,,,,,,,,,lb
organic-cotton-toddler-crew-i-love-my-dog-olive-green,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0760/5531/files/OGTC-TS-1000_img2_7decb0bd-75ba-4efb-af6e-df4b62d0290e.jpg?16078887528086111488,,,,,,,,,,,,,,,,,,,
ivory-adopt-womens-crew-t-shirt,Ivory 'Adopt' Women's Crew T-shirt,"<span>This listing is for one women's 'Adopt' crew. It has a contemporary fit and is vintage-soft, made with 100% combed and ring-spun cotton. It has a subtle white dog on the ivory shirt.</span><br><br><span>This is a great way to promote animal rescue! A portion of the proceeds help fund animal rescue organizations around the country.</span>",The Loving Paw,T-Shirts,T-Shirt,T-Shirt,TRUE,Size,Small,,,,,IVORYADOPT-TS-1000,227,shopify,27,deny,manual,22,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0760/5531/files/IVORYADOPT-TS-1000_IMG1_327e09af-430c-4254-a1af-6d5b26457298.jpg?16078887528086111488,,FALSE,,,,,,,,,,,,,,,,,lb
